EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,OverTime,DistanceFromHome,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition
413,56,Female,Divorced,2,Other,Sales,Manager,1,3021,0,0,5,1,No,18,Travel_Rarely,4,3,2,1,0
414,43,Female,Married,2,Life Sciences,Research & Development,Research Scientist,4,14793,22,1,1,1,No,6,Non-Travel,4,3,2,4,0
415,44,Male,Single,3,Technical Degree,Research & Development,Manufacturing Director,1,1035,5,1,0,5,Yes,6,Travel_Frequently,2,4,3,3,0
416,40,Male,Single,1,Technical Degree,Research & Development,Research Scientist,2,3530,5,0,7,1,No,22,Travel_Frequently,4,4,3,4,0
417,36,Male,Married,3,Life Sciences,Sales,Sales Executive,2,3090,0,1,1,1,No,28,Non-Travel,4,3,2,2,0
418,37,Male,Married,1,Life Sciences,Sales,Sales Executive,2,6372,4,2,1,1,Yes,13,Travel_Rarely,4,4,4,4,0
419,45,Female,Divorced,2,Marketing,Sales,Sales Representative,2,6795,3,5,0,0,Yes,14,Travel_Frequently,3,1,3,4,1
420,46,Female,Married,3,Life Sciences,Research & Development,Manufacturing Director,1,2940,0,1,6,4,No,21,Non-Travel,1,1,3,3,0
421,47,Male,Divorced,3,Marketing,Research & Development,Research Scientist,2,4942,1,3,0,0,No,7,Travel_Rarely,3,4,3,3,0
422,47,Male,Single,3,Medical,Research & Development,Manufacturing Director,1,2240,11,0,3,6,Yes,13,Travel_Frequently,4,1,3,3,0
423,29,Female,Married,3,Medical,Sales,Sales Representative,3,7758,3,1,6,0,No,15,Travel_Frequently,2,1,3,1,0
424,41,Male,Single,1,Marketing,Sales,Sales Representative,2,6994,2,0,0,2,Yes,12,Travel_Rarely,3,4,3,4,0
425,28,Male,Divorced,3,Life Sciences,Sales,Sales Representative,4,11097,0,0,5,9,No,21,Travel_Rarely,3,2,3,1,0
426,42,Female,Married,1,Medical,Sales,Manager,1,2479,6,1,1,0,Yes,27,Travel_Rarely,3,3,3,2,1
427,40,Female,Married,2,Life Sciences,Sales,Sales Representative,1,1530,6,2,3,1,No,1,Travel_Frequently,3,4,3,3,0
428,52,Male,Single,2,Life Sciences,Research & Development,Research Scientist,1,2832,4,0,1,3,Yes,28,Travel_Frequently,1,2,3,1,0
429,38,Male,Single,1,Medical,Research & Development,Laboratory Technician,1,2051,3,1,3,0,No,25,Travel_Rarely,4,2,3,4,0
430,30,Female,Married,2,Marketing,Research & Development,Laboratory Technician,1,2347,2,1,0,2,No,3,Travel_Rarely,4,1,3,4,0
431,31,Male,Single,4,Life Sciences,Research & Development,Laboratory Technician,2,6294,4,0,0,0,Yes,18,Travel_Rarely,1,1,2,3,0
432,46,Male,Married,4,Medical,Sales,Sales Representative,1,1079,1,0,8,1,No,26,Travel_Rarely,4,1,2,4,1
433,43,Female,Single,2,Medical,Research & Development,Laboratory Technician,2,5610,14,0,0,0,Yes,22,Travel_Rarely,4,1,3,4,0
434,30,Male,Married,1,Life Sciences,Sales,Sales Executive,3,11577,4,0,5,5,No,8,Travel_Rarely,1,3,3,2,0
435,29,Female,Divorced,2,Life Sciences,Human Resources,Manager,2,3613,1,1,0,0,No,2,Travel_Rarely,2,2,2,4,0
436,45,Male,Married,2,Technical Degree,Research & Development,Research Scientist,1,3223,2,0,1,0,No,4,Travel_Rarely,3,4,3,2,0
437,29,Female,Married,4,Marketing,Sales,Sales Executive,1,2772,8,0,5,2,No,18,Travel_Rarely,3,4,3,3,0
438,48,Male,Single,1,Medical,Research & Development,Laboratory Technician,1,2480,0,1,0,1,No,28,Travel_Rarely,4,4,4,3,0
439,45,Male,Single,3,Medical,Sales,Sales Representative,1,1422,1,1,6,1,Yes,28,Travel_Rarely,3,3,2,4,1
440,29,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,2,4123,5,0,2,0,No,25,Travel_Rarely,1,1,3,1,0
441,29,Male,Married,5,Medical,Research & Development,Research Scientist,1,3034,1,0,1,3,No,26,Travel_Rarely,4,4,2,2,0
442,59,Female,Married,2,Medical,Sales,Sales Representative,3,9811,7,0,3,2,No,13,Travel_Frequently,2,2,3,3,0
443,38,Female,Single,3,Medical,Sales,Sales Representative,2,6474,0,2,1,1,Yes,15,Travel_Rarely,4,1,3,2,0
444,38,Male,Single,2,Life Sciences,Research & Development,Research Scientist,2,5623,7,3,1,0,No,2,Travel_Rarely,1,4,3,4,0
445,47,Male,Single,3,Life Sciences,Research & Development,Healthcare Representative,1,2403,0,1,3,2,No,10,Travel_Rarely,2,2,3,3,0
446,56,Female,Divorced,2,Life Sciences,Sales,Sales Executive,1,1331,0,0,1,3,No,2,Travel_Frequently,3,2,1,2,1
447,59,Female,Single,1,Other,Human Resources,Human Resources,2,6389,11,1,0,1,No,29,Non-Travel,2,4,3,1,0
448,46,Male,Married,4,Life Sciences,Sales,Sales Executive,2,3652,4,0,4,0,Yes,21,Travel_Rarely,3,4,2,3,0
449,38,Male,Single,4,Medical,Sales,Sales Executive,1,1739,2,0,4,1,No,12,Travel_Rarely,1,2,3,3,0
450,29,Male,Married,4,Life Sciences,Sales,Sales Executive,1,2112,1,0,2,2,Yes,5,Travel_Rarely,3,2,1,1,0
451,47,Female,Married,3,Life Sciences,Sales,Sales Executive,1,2627,4,2,2,7,No,12,Travel_Frequently,4,3,3,2,0
452,42,Male,Divorced,3,Marketing,Sales,Sales Representative,2,3510,3,1,3,0,Yes,23,Travel_Rarely,1,4,3,2,1
453,39,Female,Divorced,1,Medical,Human Resources,Human Resources,1,1041,23,1,2,1,No,1,Travel_Rarely,4,1,3,1,0
454,53,Male,Married,2,Medical,Sales,Sales Representative,2,3884,20,1,1,0,No,28,Non-Travel,2,3,2,3,0
455,30,Female,Divorced,2,Life Sciences,Sales,Sales Representative,1,2949,5,0,15,1,No,2,Travel_Rarely,2,4,3,4,0
456,41,Male,Divorced,3,Marketing,Sales,Sales Executive,2,6460,2,0,0,1,No,27,Travel_Rarely,4,2,1,3,0
457,20,Male,Divorced,2,Life Sciences,Research & Development,Laboratory Technician,3,8128,3,1,2,5,No,16,Travel_Frequently,3,4,3,4,0
458,40,Male,Divorced,1,Life Sciences,Research & Development,Research Scientist,3,10497,5,1,6,0,No,27,Travel_Frequently,3,4,3,1,0
459,28,Female,Single,3,Medical,Sales,Sales Executive,1,3154,0,2,3,3,Yes,22,Non-Travel,1,2,3,3,0
460,30,Male,Married,3,Life Sciences,Sales,Sales Executive,1,2134,1,0,6,1,No,2,Travel_Rarely,4,4,3,3,0
461,30,Male,Single,2,Life Sciences,Sales,Sales Representative,1,2237,0,2,1,3,No,16,Travel_Rarely,3,2,2,4,1
462,44,Male,Single,1,Medical,Sales,Manager,2,4766,0,0,0,2,No,20,Non-Travel,1,4,3,4,0
463,46,Male,Divorced,2,Medical,Sales,Sales Representative,2,4841,1,1,5,0,No,26,Travel_Rarely,3,4,3,4,0
464,43,Female,Married,2,Marketing,Sales,Sales Executive,2,3505,3,0,1,5,No,16,Travel_Rarely,4,2,4,3,0
465,57,Female,Married,2,Life Sciences,Sales,Sales Representative,1,2144,7,4,3,0,No,6,Travel_Rarely,3,4,3,1,0
466,38,Female,Divorced,3,Life Sciences,Research & Development,Manufacturing Director,2,6205,3,0,0,2,No,13,Travel_Rarely,1,4,3,4,0
467,36,Male,Divorced,3,Life Sciences,Sales,Sales Representative,1,2841,2,1,4,4,No,12,Travel_Rarely,3,2,4,4,0
468,51,Female,Divorced,3,Human Resources,Human Resources,Manager,2,3719,0,1,2,0,No,23,Non-Travel,2,1,3,4,0
469,34,Male,Single,2,Medical,Research & Development,Research Scientist,1,2394,3,0,0,2,Yes,10,Travel_Rarely,3,1,4,4,0
470,57,Male,Single,3,Marketing,Research & Development,Laboratory Technician,2,3256,1,0,2,4,No,5,Travel_Rarely,4,3,3,4,0
471,21,Male,Married,2,Life Sciences,Sales,Sales Representative,1,2720,4,2,3,7,No,8,Travel_Frequently,3,4,3,3,0
472,58,Male,Single,3,Medical,Sales,Sales Representative,1,2821,18,0,0,3,No,6,Travel_Rarely,3,4,3,4,0
473,28,Female,Single,3,Life Sciences,Sales,Sales Representative,2,3953,0,0,3,1,No,5,Travel_Frequently,4,3,1,4,0
474,52,Female,Married,2,Medical,Research & Development,Research Scientist,1,2071,1,5,2,2,No,20,Travel_Frequently,3,3,3,4,0
475,42,Female,Divorced,1,Technical Degree,Research & Development,Manager,2,4622,3,1,0,3,No,22,Travel_Rarely,3,2,1,3,0
476,59,Male,Married,4,Other,Research & Development,Manager,2,3896,17,0,4,2,No,6,Travel_Rarely,2,1,4,1,0
477,29,Male,Single,2,Medical,Human Resources,Manager,2,5066,7,1,1,4,Yes,22,Travel_Frequently,3,3,2,4,0
478,42,Male,Married,3,Medical,Sales,Sales Representative,1,2069,11,1,0,0,No,17,Travel_Rarely,3,3,3,4,0
479,58,Male,Single,1,Technical Degree,Research & Development,Manager,2,3450,2,2,1,0,Yes,6,Travel_Frequently,3,3,3,4,1
480,41,Male,Single,3,Medical,Sales,Sales Executive,2,3897,24,1,3,2,Yes,17,Travel_Rarely,4,4,2,1,0
481,44,Male,Married,2,Life Sciences,Sales,Sales Executive,2,4079,0,2,7,6,No,5,Travel_Rarely,4,3,3,3,0
482,45,Male,Married,1,Medical,Sales,Sales Representative,2,3740,0,0,0,1,No,23,Non-Travel,4,3,3,2,0
483,40,Male,Married,3,Life Sciences,Sales,Sales Representative,1,1081,9,1,1,6,Yes,17,Travel_Rarely,3,1,2,4,0
484,44,Female,Single,2,Medical,Research & Development,Research Scientist,1,1736,13,0,0,5,No,29,Travel_Frequently,3,4,3,2,0
485,43,Female,Divorced,2,Medical,Sales,Sales Representative,1,1078,0,0,4,5,No,17,Travel_Rarely,2,4,3,4,0
486,53,Female,Married,1,Medical,Research & Development,Laboratory Technician,1,2685,0,1,1,5,Yes,29,Non-Travel,2,4,2,2,0
487,28,Female,Married,1,Life Sciences,Research & Development,Laboratory Technician,1,3330,0,0,3,4,No,13,Travel_Rarely,4,3,3,1,0
488,36,Male,Married,2,Life Sciences,Research & Development,Manufacturing Director,2,4334,0,1,1,3,No,22,Travel_Rarely,3,3,3,3,0
489,56,Female,Divorced,1,Medical,Sales,Sales Executive,2,3996,1,2,5,2,No,7,Travel_Rarely,4,3,4,1,0
490,52,Female,Married,4,Marketing,Research & Development,Research Scientist,1,3207,17,0,2,0,Yes,22,Travel_Rarely,1,2,4,3,1
491,40,Male,Married,1,Medical,Research & Development,Laboratory Technician,4,16435,5,0,8,0,Yes,21,Travel_Rarely,3,4,3,4,0
492,43,Male,Divorced,3,Life Sciences,Sales,Sales Executive,2,6948,7,1,0,0,No,6,Non-Travel,3,4,3,4,0
493,36,Female,Married,1,Technical Degree,Sales,Sales Representative,3,8002,7,3,2,0,No,29,Travel_Rarely,3,1,3,2,0
494,33,Male,Married,2,Technical Degree,Research & Development,Research Scientist,2,4691,3,1,4,0,No,14,Travel_Rarely,4,1,2,4,0
495,40,Male,Married,4,Life Sciences,Research & Development,Research Scientist,2,4179,7,1,2,5,No,16,Travel_Rarely,4,4,3,2,0
496,38,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,1,2737,4,0,0,2,Yes,3,Travel_Rarely,1,2,3,4,1
497,43,Male,Single,4,Marketing,Research & Development,Healthcare Representative,1,1852,1,0,10,1,No,9,Travel_Rarely,1,3,3,4,0
498,29,Male,Married,2,Marketing,Research & Development,Research Scientist,1,1461,4,1,1,3,No,15,Travel_Rarely,1,4,2,1,1
499,58,Male,Divorced,3,Other,Sales,Sales Representative,2,5901,3,0,0,1,No,21,Travel_Rarely,4,2,3,3,0
500,59,Male,Divorced,3,Technical Degree,Sales,Sales Representative,1,1116,8,2,1,0,No,18,Travel_Rarely,3,4,2,2,0
501,45,Male,Married,4,Medical,Sales,Sales Executive,2,4689,20,0,2,4,No,28,Travel_Rarely,4,3,3,4,0
502,42,Female,Married,3,Medical,Research & Development,Healthcare Representative,1,3411,2,1,4,1,No,10,Travel_Rarely,3,4,3,3,0
503,37,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,6914,7,2,1,2,No,10,Travel_Rarely,3,4,3,4,0
504,47,Male,Divorced,2,Life Sciences,Sales,Sales Representative,1,2654,0,2,1,1,No,23,Travel_Rarely,4,4,3,3,0
505,45,Male,Divorced,1,Medical,Research & Development,Laboratory Technician,1,2734,7,1,2,2,No,3,Non-Travel,3,1,4,4,0
506,32,Female,Married,4,Medical,Sales,Manager,1,2936,2,4,1,3,No,1,Non-Travel,3,2,2,4,1
507,54,Male,Divorced,2,Medical,Sales,Sales Representative,1,1465,0,6,7,0,Yes,3,Travel_Frequently,1,1,4,3,0
508,48,Male,Married,2,Marketing,Sales,Sales Executive,1,2798,2,4,5,6,Yes,25,Travel_Rarely,3,3,3,4,0
509,56,Female,Married,3,Life Sciences,Sales,Sales Executive,2,5231,4,2,1,0,No,5,Travel_Rarely,3,4,4,4,0
510,46,Female,Single,2,Medical,Sales,Sales Representative,1,1659,0,1,0,2,No,7,Travel_Rarely,3,3,3,4,0
511,43,Male,Married,4,Life Sciences,Sales,Sales Representative,1,3122,12,1,6,5,No,3,Travel_Rarely,4,4,2,1,0
512,39,Female,Married,3,Life Sciences,Sales,Sales Representative,3,9819,0,0,0,5,Yes,4,Travel_Rarely,4,2,3,2,0
513,55,Male,Married,3,Marketing,Sales,Sales Representative,1,2714,13,0,0,1,No,17,Non-Travel,4,2,3,2,1
514,51,Male,Married,4,Medical,Research & Development,Manufacturing Director,3,8550,6,0,0,0,Yes,3,Travel_Rarely,3,4,1,3,0
515,28,Male,Divorced,1,Human Resources,Sales,Sales Representative,4,15890,2,0,0,3,No,23,Travel_Rarely,4,3,2,1,0
516,24,Male,Single,2,Life Sciences,Human Resources,Human Resources,1,2586,2,0,4,0,No,4,Travel_Frequently,3,4,3,3,0
517,38,Female,Married,3,Medical,Sales,Sales Representative,1,1586,6,0,2,1,No,2,Travel_Rarely,2,2,3,3,1
518,47,Male,Married,2,Life Sciences,Sales,Manager,1,1634,4,3,9,3,No,14,Non-Travel,2,4,3,3,1
519,59,Male,Married,3,Medical,Sales,Sales Executive,2,5891,5,2,0,2,No,5,Travel_Rarely,1,3,3,3,0
520,31,Female,Married,4,Marketing,Sales,Sales Representative,2,4274,2,0,1,0,No,21,Non-Travel,2,4,3,1,0
521,43,Female,Single,2,Medical,Research & Development,Manufacturing Director,2,6879,3,0,11,1,No,2,Travel_Rarely,3,1,3,4,0
522,39,Male,Single,2,Technical Degree,Sales,Sales Representative,2,5882,22,2,5,5,Yes,15,Non-Travel,4,3,3,4,0
523,58,Female,Married,4,Life Sciences,Human Resources,Manager,1,2153,1,2,3,2,No,11,Travel_Rarely,2,4,2,3,1
524,49,Male,Married,2,Technical Degree,Research & Development,Manufacturing Director,3,8811,2,4,0,3,No,22,Non-Travel,4,4,4,4,0
525,49,Female,Single,3,Life Sciences,Research & Development,Laboratory Technician,2,3357,1,9,4,1,No,10,Travel_Rarely,2,1,1,1,0
526,40,Female,Married,2,Technical Degree,Research & Development,Manager,2,5739,7,5,1,0,No,20,Travel_Frequently,2,2,3,4,0
527,39,Female,Married,4,Life Sciences,Research & Development,Manufacturing Director,3,11527,7,0,2,1,No,1,Travel_Rarely,3,3,3,1,0
528,36,Male,Married,3,Life Sciences,Sales,Sales Representative,2,4884,1,0,2,2,No,19,Non-Travel,4,1,3,3,0
529,28,Male,Divorced,3,Medical,Research & Development,Research Scientist,1,2518,0,2,2,1,No,14,Travel_Rarely,1,4,1,2,0
530,51,Male,Single,3,Technical Degree,Sales,Sales Representative,1,1621,0,0,3,2,No,25,Travel_Rarely,2,1,2,3,1
531,47,Male,Single,2,Life Sciences,Sales,Sales Executive,2,3481,2,2,3,3,No,26,Travel_Frequently,3,2,3,2,0
532,59,Male,Married,2,Life Sciences,Research & Development,Research Scientist,1,1979,2,1,0,3,No,23,Non-Travel,2,3,4,3,0
533,59,Female,Married,3,Marketing,Research & Development,Healthcare Representative,4,16969,22,2,1,0,No,29,Travel_Rarely,4,3,3,2,0
534,42,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,1977,3,0,3,3,No,22,Travel_Rarely,3,4,3,4,0
535,47,Male,Divorced,3,Life Sciences,Sales,Sales Executive,2,4537,1,1,1,2,No,14,Travel_Rarely,1,4,3,3,0
536,56,Female,Divorced,4,Medical,Research & Development,Healthcare Representative,2,6392,11,1,1,0,Yes,1,Travel_Frequently,4,1,2,2,1
537,50,Male,Divorced,3,Life Sciences,Sales,Sales Representative,1,3337,3,4,0,0,No,25,Travel_Rarely,2,4,1,2,0
538,35,Female,Married,3,Technical Degree,Sales,Sales Executive,3,11416,4,0,1,2,No,29,Travel_Rarely,4,2,2,4,0
539,40,Male,Married,3,Marketing,Sales,Sales Representative,3,11800,0,4,12,1,No,9,Travel_Rarely,4,3,3,3,0
540,31,Male,Married,3,Medical,Sales,Sales Representative,2,5799,2,2,1,0,No,17,Travel_Rarely,4,1,2,3,0
541,57,Male,Single,2,Human Resources,Sales,Sales Representative,1,2994,14,1,2,0,No,14,Travel_Rarely,3,1,2,3,0
542,43,Male,Married,1,Medical,Research & Development,Healthcare Representative,1,3070,4,2,4,0,No,13,Travel_Rarely,3,2,3,2,0
543,34,Female,Single,2,Life Sciences,Research & Development,Research Scientist,1,1805,2,1,0,6,No,13,Travel_Rarely,2,2,4,2,0
544,45,Male,Divorced,3,Life Sciences,Sales,Sales Executive,1,3219,4,0,6,3,No,6,Travel_Rarely,4,4,4,3,0
545,43,Male,Married,3,Medical,Research & Development,Laboratory Technician,2,3834,12,0,1,2,No,7,Non-Travel,3,4,3,2,0
546,38,Male,Married,3,Life Sciences,Research & Development,Research Scientist,4,13365,1,3,6,5,Yes,2,Travel_Rarely,3,4,1,2,1
547,30,Male,Married,2,Technical Degree,Research & Development,Research Scientist,2,3907,3,1,0,2,No,26,Travel_Rarely,4,3,3,1,0
548,45,Female,Single,3,Marketing,Research & Development,Healthcare Representative,3,8845,15,0,0,3,Yes,8,Travel_Frequently,1,2,2,2,0
549,41,Male,Single,2,Life Sciences,Sales,Sales Representative,2,6038,0,1,1,1,No,24,Travel_Rarely,4,2,3,2,0
550,47,Female,Married,3,Medical,Research & Development,Research Scientist,2,3854,6,0,1,2,No,6,Travel_Rarely,4,2,3,4,0
551,41,Female,Single,3,Marketing,Research & Development,Healthcare Representative,3,8728,4,0,5,0,No,25,Non-Travel,3,2,3,3,0
552,50,Male,Married,2,Technical Degree,Sales,Sales Executive,2,3915,5,1,0,1,Yes,3,Travel_Frequently,3,3,4,4,0
553,42,Female,Divorced,2,Technical Degree,Sales,Sales Executive,3,10938,2,0,3,0,Yes,18,Travel_Rarely,2,3,3,1,0
554,42,Male,Divorced,3,Medical,Research & Development,Healthcare Representative,1,1131,1,0,0,1,No,18,Travel_Rarely,4,2,3,1,0
555,52,Male,Married,3,Marketing,Sales,Sales Executive,1,2116,5,0,5,0,No,22,Travel_Rarely,1,1,2,4,1
556,39,Male,Single,2,Medical,Human Resources,Human Resources,3,9593,1,1,4,1,No,23,Travel_Rarely,3,1,4,3,0
557,31,Female,Divorced,4,Medical,Sales,Sales Representative,2,6634,2,0,2,4,Yes,6,Travel_Rarely,4,2,2,2,0
558,25,Female,Divorced,3,Life Sciences,Research & Development,Research Scientist,3,6860,1,0,0,1,Yes,11,Travel_Frequently,4,1,4,3,0
559,46,Male,Single,4,Life Sciences,Sales,Sales Representative,3,6293,0,0,3,4,No,3,Non-Travel,4,4,3,3,0
560,44,Female,Married,2,Medical,Research & Development,Laboratory Technician,1,1999,17,0,0,2,Yes,16,Travel_Rarely,3,1,2,4,0
561,45,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,2,5439,2,0,0,2,No,5,Travel_Frequently,1,4,3,1,0
562,33,Male,Divorced,4,Life Sciences,Sales,Sales Executive,1,3296,17,0,2,1,No,24,Travel_Rarely,3,2,1,3,0
563,31,Male,Divorced,3,Marketing,Research & Development,Research Scientist,2,6685,0,0,14,5,Yes,22,Travel_Frequently,1,1,3,4,0
564,21,Female,Single,3,Life Sciences,Sales,Sales Representative,2,6920,4,2,6,0,Yes,2,Travel_Frequently,4,4,2,4,0
565,38,Female,Divorced,2,Medical,Sales,Sales Representative,1,2260,1,0,2,2,Yes,15,Travel_Rarely,4,3,4,4,0
566,43,Male,Married,2,Medical,Sales,Sales Representative,2,3286,7,0,2,2,No,16,Travel_Rarely,4,2,3,2,0
567,39,Male,Divorced,1,Other,Research & Development,Manager,2,5324,7,0,17,1,No,7,Travel_Rarely,3,4,3,4,0
568,40,Male,Married,2,Medical,Sales,Sales Executive,1,3434,0,0,2,1,No,16,Non-Travel,3,1,3,4,0
569,53,Male,Divorced,1,Life Sciences,Sales,Sales Representative,2,6453,12,2,1,1,No,24,Travel_Rarely,1,2,1,4,0
570,38,Male,Single,1,Medical,Sales,Sales Representative,2,3449,1,0,7,4,No,4,Travel_Rarely,2,4,3,4,0
571,41,Female,Married,5,Marketing,Research & Development,Manager,3,8338,4,0,0,4,Yes,28,Travel_Rarely,1,4,2,4,0
572,47,Male,Single,2,Human Resources,Research & Development,Manager,1,3490,21,0,0,5,No,16,Travel_Rarely,4,2,3,1,0
573,39,Male,Divorced,3,Medical,Sales,Sales Executive,1,2207,10,1,3,1,No,17,Non-Travel,1,1,3,1,0
574,44,Male,Divorced,3,Life Sciences,Sales,Sales Representative,2,6116,15,0,0,1,No,2,Travel_Rarely,4,4,3,4,0
575,51,Female,Divorced,3,Technical Degree,Human Resources,Human Resources,1,2778,2,1,1,0,No,16,Travel_Rarely,4,2,2,2,0
576,56,Female,Divorced,1,Life Sciences,Sales,Sales Executive,4,15571,0,0,1,5,No,4,Travel_Frequently,3,2,2,1,1
577,31,Male,Single,3,Medical,Research & Development,Laboratory Technician,1,1252,1,0,2,1,Yes,7,Travel_Rarely,1,3,2,3,1
578,55,Female,Married,3,Life Sciences,Research & Development,Research Scientist,2,4419,3,1,14,1,No,18,Travel_Rarely,2,4,4,4,1
579,41,Male,Single,3,Life Sciences,Research & Development,Research Scientist,2,5336,7,1,0,5,No,6,Travel_Rarely,2,1,1,1,1
580,35,Male,Single,3,Life Sciences,Sales,Sales Executive,1,2235,0,1,1,2,No,18,Travel_Rarely,4,4,4,4,0
581,40,Male,Single,5,Life Sciences,Research & Development,Manufacturing Director,1,1999,5,0,0,2,No,28,Travel_Rarely,1,3,2,1,0
582,58,Male,Married,3,Medical,Research & Development,Laboratory Technician,2,6760,1,1,2,0,No,7,Travel_Frequently,4,3,2,1,0
583,41,Male,Single,2,Technical Degree,Research & Development,Research Scientist,2,3020,2,0,3,1,No,2,Travel_Rarely,4,4,3,2,0
584,37,Female,Single,3,Life Sciences,Sales,Sales Executive,1,1315,5,1,1,5,No,19,Travel_Rarely,2,4,2,1,0
585,44,Female,Single,1,Marketing,Sales,Sales Executive,3,8611,3,1,0,2,Yes,9,Non-Travel,4,2,3,4,0
586,34,Female,Single,4,Life Sciences,Sales,Sales Representative,1,2461,8,0,2,1,No,29,Travel_Rarely,4,1,3,4,0
587,29,Male,Divorced,1,Medical,Research & Development,Laboratory Technician,1,2446,0,1,2,0,No,4,Travel_Rarely,4,4,1,4,0
588,31,Male,Married,2,Life Sciences,Research & Development,Research Scientist,2,4256,7,1,0,1,No,14,Travel_Rarely,2,3,3,2,0
589,31,Female,Divorced,3,Technical Degree,Sales,Sales Executive,1,3170,0,0,1,2,No,5,Travel_Rarely,1,3,3,3,0
590,31,Male,Married,3,Marketing,Research & Development,Research Scientist,3,8921,1,3,1,0,No,25,Travel_Rarely,2,3,2,2,0
591,31,Male,Single,2,Medical,Sales,Sales Executive,1,1959,5,2,12,2,No,7,Travel_Rarely,2,4,2,2,1
592,44,Male,Divorced,3,Marketing,Research & Development,Manufacturing Director,1,3261,9,0,5,2,No,8,Travel_Rarely,4,4,4,3,0
593,32,Female,Married,4,Medical,Research & Development,Manufacturing Director,1,2945,1,3,3,3,No,15,Travel_Rarely,4,4,2,4,0
594,38,Male,Single,2,Other,Sales,Sales Executive,2,3838,1,0,6,0,No,27,Travel_Rarely,4,3,4,1,0
595,53,Male,Single,4,Marketing,Sales,Sales Representative,2,5694,3,1,3,3,Yes,19,Non-Travel,1,2,3,2,1
596,40,Female,Single,1,Technical Degree,Sales,Sales Executive,2,3967,1,2,7,2,No,27,Travel_Rarely,1,3,1,4,0
597,44,Male,Single,3,Medical,Research & Development,Research Scientist,1,2853,8,1,0,1,No,11,Travel_Rarely,4,3,3,3,0
598,32,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,1599,7,0,1,6,No,20,Travel_Rarely,2,3,3,4,0
599,33,Male,Married,2,Medical,Human Resources,Human Resources,2,3791,0,3,4,0,No,23,Travel_Rarely,2,3,3,4,0
600,28,Male,Single,2,Life Sciences,Sales,Sales Representative,1,1039,3,0,2,2,Yes,4,Travel_Rarely,3,1,3,3,0
601,32,Female,Single,1,Medical,Human Resources,Manager,3,9403,7,0,0,1,No,18,Travel_Rarely,1,3,4,2,0
602,36,Male,Divorced,3,Medical,Sales,Sales Representative,1,1647,2,0,1,2,Yes,14,Travel_Rarely,3,4,2,4,0
603,32,Male,Single,3,Medical,Research & Development,Research Scientist,3,10277,5,2,1,2,No,26,Travel_Frequently,2,4,4,1,0
604,29,Female,Married,3,Life Sciences,Sales,Sales Representative,1,1264,0,4,0,0,No,6,Travel_Frequently,3,3,3,2,0
605,30,Female,Divorced,2,Life Sciences,Research & Development,Manager,2,5818,4,0,1,2,No,25,Travel_Rarely,4,1,3,4,0
606,40,Female,Single,2,Medical,Research & Development,Healthcare Representative,1,1862,0,2,2,2,No,16,Travel_Rarely,1,3,3,3,0
607,33,Male,Single,1,Other,Research & Development,Laboratory Technician,1,1431,8,0,5,3,No,18,Travel_Rarely,4,4,3,2,0
608,38,Male,Married,2,Life Sciences,Research & Development,Healthcare Representative,1,2219,2,5,4,0,No,1,Travel_Rarely,3,3,3,3,0
609,41,Female,Single,3,Medical,Sales,Sales Representative,1,1508,1,1,5,1,Yes,8,Travel_Rarely,4,4,3,4,0
610,45,Female,Married,4,Marketing,Sales,Sales Representative,1,1446,9,0,6,2,No,1,Travel_Frequently,2,3,3,1,0
611,28,Male,Divorced,3,Medical,Research & Development,Healthcare Representative,2,3527,0,0,1,0,No,1,Travel_Rarely,3,2,3,2,0
612,47,Male,Single,2,Life Sciences,Sales,Sales Executive,2,6273,2,0,1,2,Yes,19,Travel_Rarely,3,4,2,2,0
613,44,Male,Married,4,Life Sciences,Sales,Sales Representative,2,5922,2,0,0,0,No,21,Travel_Rarely,4,1,3,2,0
614,29,Female,Married,3,Life Sciences,Research & Development,Laboratory Technician,2,4753,1,2,7,1,No,29,Travel_Rarely,3,3,3,4,0
615,51,Male,Single,4,Other,Research & Development,Laboratory Technician,2,4628,12,0,0,4,Yes,28,Travel_Rarely,3,2,2,4,1
616,54,Male,Married,3,Life Sciences,Sales,Sales Executive,1,2162,6,5,4,3,No,25,Travel_Rarely,4,1,3,3,0
617,28,Male,Single,2,Life Sciences,Sales,Sales Representative,2,3668,0,1,1,2,Yes,27,Travel_Rarely,3,3,3,1,0
618,36,Female,Married,1,Life Sciences,Sales,Sales Executive,1,1846,6,1,8,4,No,10,Non-Travel,2,3,3,1,0
619,47,Female,Single,3,Life Sciences,Sales,Sales Executive,3,8117,3,0,1,3,No,18,Travel_Rarely,3,4,3,2,0
620,46,Male,Married,1,Marketing,Research & Development,Manufacturing Director,1,2770,11,3,5,2,No,12,Travel_Rarely,3,4,2,2,0
